N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation
274,150,3,3,21.22401428,0.007808156,4.518226147,1.464325428,0.089045286,0.001724547,0.002388477
275,150,3,3,20.96170855,0.007853085,4.499827147,1.460762024,0.089156628,0.001769778,0.002443314
276,150,3,3,22.33952475,0.007901546,4.498560429,1.439827204,0.090299845,0.001867479,0.002440453
277,150,3,3,20.71607709,0.007859438,4.503714323,1.502218008,0.090609312,0.0018012,0.002884388
278,150,3,3,21.03567457,0.007885323,4.493810654,1.444571018,0.089041948,0.001912955,0.002670527
279,150,3,3,20.69108629,0.007820288,4.452888489,1.450757265,0.090234518,0.001747901,0.002511263
280,150,3,3,20.99665999,0.007944857,4.455149651,1.461638689,0.097686052,0.001784755,0.002425432
281,150,3,3,20.65868092,0.007895632,4.54707098,1.442834139,0.08810401,0.001755336,0.00239706
282,150,3,3,20.66194487,0.00791244,4.479215622,1.423609257,0.093476534,0.00184293,0.002454042
283,150,3,3,20.74567461,0.018623352,4.534272671,1.512200117,0.098588943,0.001753726,0.002693892
284,150,3,3,20.75028062,0.007850726,4.431794167,1.482225895,0.087626219,0.001756941,0.002450466
285,150,3,3,20.54656506,0.007758179,4.413104534,1.428156614,0.08865428,0.001839886,0.002913237
286,150,3,3,20.60653281,0.007954542,4.587201595,1.467996597,0.08671689,0.001729301,0.002378702
287,150,3,3,20.69090629,0.007742243,4.803064823,1.437743664,0.086802959,0.001728457,0.00242734
288,150,3,3,20.64845777,0.007805924,4.610410452,1.445205212,0.089060307,0.001736833,0.002408266
289,150,3,3,20.56607652,0.00784066,4.394110441,1.42422843,0.089600325,0.001828877,0.002398252
290,150,3,3,20.9377265,0.007982133,4.579884052,1.471917152,0.099274874,0.001831169,0.002461672
291,150,3,3,20.69586849,0.007853208,4.420404434,1.425783873,0.088418484,0.001793863,0.002691746
292,150,3,3,20.50429416,0.007760846,4.423115253,1.531091928,0.088971853,0.001796203,0.002410173
293,150,3,3,20.50863051,0.007868568,4.494962454,1.582598209,0.09544611,0.001859864,0.002422333
294,150,3,3,20.34855843,0.007703708,4.363007069,1.409119606,0.088113785,0.001800919,0.0025177
295,150,3,3,20.50093865,0.007742524,4.447012901,1.446341038,0.088142872,0.001728492,0.00238204
296,150,3,3,21.39484072,0.007823456,5.094436407,1.483114004,0.095723629,0.001787895,0.002425194
297,150,3,3,21.16703725,0.008072842,4.601184845,1.519535065,0.101087809,0.001878117,0.002474546
298,150,3,3,21.26292467,0.008024667,4.595448017,1.485165596,0.104473591,0.001739942,0.00241971
299,150,3,3,20.72987747,0.007737945,4.419216871,1.460522413,0.087184906,0.001887368,0.002608776
300,150,3,3,20.72041035,0.007754003,4.417328358,1.44167757,0.089998722,0.001727959,0.002552986
